"","Country","Species","y1984","y1985","y1986","y1987","y1988","y1989","y1990","y1991","y1992","y1993","y1994","y1995","y1996","y1997","y1998","y1999","y2000","y2001","y2002","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","y2018","total"
"517","China","Japanese isinglass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346.8,402.4,350,1200,422,601.2,611.98,652.4,0,2842.56,0,0,0,0,0,0,7429.34
"518","China","Japanese kelp",338893.6,343190.4,275046.8,241872.8,346722.71,437239.4,391407.63,571412.21,791653.94,964199.19,1015585.53,1032479.83,1191730.56,1181062.25,1510261.72,1674591.01,1540358.43,1473159.73,1550593.13,1506946.15,1473653.91,1586706.14,1601981.53,1630319.22,2097798.03,2129985.94,2237537.01,2282348.25,2486005.59,2594421.84,3482136.9,3695626.04,3816941.24,3959589.76,4055185.9,57508644.32
"519","China","Japanese sea cucumber",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102300,139942.16,188595.84,241682.83,247511.78,357493.75,401698.44,545649.01,666903.17,908371.3,1111084.22,1217544.41,1232566.35,1285288.68,1392671.03,1104095.22,11143398.19
"520","China","Japanese seabass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68588,72445.54,84734.48,101998.31,110832.55,127917.99,138692.54,153410.42,205817.25,231400.7,254010.62,238412.88,253884.29,302003.19,342943.05,364812.39,3051904.2
"521","China","Jellyfishes nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46940,68957.21,106081.86,74415.3,91515.9,124532.93,168364.61,169804.42,229635.74,230693.3,259478.16,278240.56,320246.65,341725.99,354379.96,312963.85,3177976.44
"522","China","Kuruma prawn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126204.6,134376.65,134540.74,183060.4,183192.32,212453.89,228497.45,264487.48,284527.82,302831.41,303800.02,331496.67,319906.58,404186.4,383001.8,403164.4,4199728.63
"523","China","Large yellow croaker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51375,58953.96,67061.88,70719.08,67533.65,87419.52,89013.28,123245.52,133188.09,173454.64,206973.43,265780.2,305342.9,346496.99,385834.08,430012.56,2862404.78
"524","China","Largemouth black bass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109173,121349.86,154501,163590.73,235285.58,289219.34,306888.74,347981.68,449513.57,552396.06,832295.14,909463.5,900810.25,988646.37,1300760.14,1230069.13,8891944.09
"525","China","Lefteye flounders nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154947,174632.2,101798.15,116900.01,97506.71,141738.62,158236.04,141099.04,265374.36,280352.99,289420.23,376420.23,444175.96,451030,402382.62,381381.38,3977395.54
"526","China","Mandarin fish",0,0,0,0,0,0,0,0,0,0,0,371818.92,584370,634450,730354.8,708345,732224,827790,922155.6,1061768.8,975469.48,1026195.72,1363337.43,1890808.8,2375914.65,2472827.37,2821535.44,3535960.63,3816684.4,4162740.55,4533788.54,4538767.78,5350100.03,5701555.17,5367242.94,56506206.05
"527","China","Marine crabs nei",0,0,0,0,0,0,0,0,0,0,0,187325,200995,274975,316094.1,382806,441828,537208,624664,38592,30769.87,46541.14,50436.42,62657.78,84066.92,40243.39,103403.97,98073.02,94477.5,75421.37,84737.16,102975.18,98134.63,105271.69,146236.08,4227933.22
"528","China","Marine fishes nei",7486.4,10922.4,15228.8,23571.2,26136.8,30947.65,36850.9,37745.6,46972.8,57337.6,80888,115965.6,127508.5,167282.5,166692.6,180954,226025.4,282464.65,491154,125323.24,134920.48,175911.47,168809.07,178932.67,269007.94,236005.56,547511.77,782893.47,954523.05,1178410.67,1419644.77,1584779.63,1588228.15,1715744.55,1751061.95,14943843.84
"529","China","Marine molluscs nei",16274.5,25838,44295.5,73380.5,86803,104097.5,112638.5,105842,92527,103490.1,118942.2,420300.8,475113.2,439293.15,416620.8,413339.2,526807.6,493633.35,494082,338896.35,332862.07,390483.03,390350.66,316953.66,467319.78,442938.91,318028.15,634882.54,769406.44,835160.19,865706.59,795719.6,873762.99,760258.65,772293.72,13868342.23
"530","China","Mud carp",36200,47600,57000,71094,79458,77900,80000,80000,81000,90000,1e+05,110000,136500,146696.55,143538,158393,174277,190762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1860418.55
"531","China","Nile tilapia",18100,23800,29500,35496,46410,106472.87,126224.49,143822.4,180817.95,210382.7,259534,314903,394303,474768,471813,494357,548261,582402,611165,696169,774963.81,853136.68,771143.56,1217502.15,1380613.28,1585281.91,1785623.07,2227747.55,2527281.12,2908076.64,3145480.59,3252259.95,3181624.25,3231477.12,3313229.29,37924142.38
"532","China","Nori nei",31217,28510.7,26297.3,28882.7,33195.6,33318,19058.4,41932.8,57236.4,69562.8,104400,110214,109324.8,108046.8,151863.02,168444.64,195459.98,235966.2,270365,292980.44,326076.98,323422.78,378166,417726.54,459468.24,602348.48,596307.92,578798.21,646919.41,667171.19,675431.14,683700.25,800838.5,1057160.5,1230851.9,11560664.62
"533","China","Obscure pufferfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213,1065.41,1035.84,2059.47,2040.8,3671.64,3887.11,5319.48,8673.12,8639.22,11902.09,12448.8,13318.52,14360.27,17887.7,36185.37,143707.84
"534","China","Oriental river prawn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235275.3,234117,233539.2,456653.7,625444.37,608975.76,681957.58,877907.51,1086142.98,1124147.46,1288412.41,1516067.97,1645795.03,1877010.5,2032420.42,2063618.04,2071093.73,2091299.69,2035867.95,22785746.6
"535","China","Pearl oyster shells nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,78,99.08,103.46,90.09,53.96,82.02,61.81,46.57,61.8,60.54,27.23,25.85,21.35,16.59,20.29,926.64
"536","China","Pen shells nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17589,2434.45,4448.15,10143.38,7099.77,7942.36,11150.93,23912.64,26906.89,14763.94,18320.9,19683.62,20141.76,20079.09,19275.5,16895.12,240787.5
"537","China","Penaeus shrimps nei",104220,219585.6,447265.8,1226176,1495635,1394175,1386127.5,1536997,1448062,658920,510976,588120,621957,675241,894336.6,988429,1154034,1076106,968316,86149.2,121242.93,163038.28,120413.01,169272.39,241017.92,274843.57,328254.16,426908.8,539720.06,719592.54,811486.19,699820.88,645495.2,724247.6,768252,24234434.23
"538","China","Pirapatinga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71473,74630.07,73880.03,84202.32,116748.1,128432,144008.31,152683.49,195701.13,212506.41,236602.79,256347.07,265318.28,242684.35,223281.56,174693.03,2653191.94
"539","China","Pompano",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000,144200,160272,302676,397920,655648,716352,773696,803770,792990,839500,876000,912500,7495524
"540","China","Pond loach",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53718.3,61709.67,87181.05,105820.32,162352.31,218391.23,254584.65,314142.99,411110.39,547936.87,646217.81,727749.26,766738.37,870363.23,921998.18,837264.45,6987279.08
"541","China","Pond smelt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6225.6,6944.11,6086.45,7462.32,12460.27,15006.98,20547.93,19131.12,23423.4,26745.3,34701.91,24723.74,26364.56,30170.56,27090.42,31989.01,319073.68
"542","China","Porgies, seabreams nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37010,40480.76,42583.57,55808.64,59921.32,48031.25,54270.83,64650.84,93505.33,95424.03,112328.35,123172.32,143399.68,156777.13,176164.4,191950.5,1495478.95
"543","China","Portunus swimcrabs nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147657,179517.64,228419.47,261877.94,292471.61,327418.32,381000.37,385695.77,454922.45,535519.49,635806.81,728242.9,713617.08,788924.52,767291.46,744703.91,7573086.74
"544","China","Rainbow trout",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8818,10250.99,12653.4,13706.92,20782.1,28200.46,27853.52,29706.2,41050.75,56943.85,68736.45,70406.22,67556.99,97005.69,114263.76,106398.14,774333.44
"545","China","Red drum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39329,38080.83,44047.75,52544.62,53825.77,67504.77,66223.56,75036,107660.83,119830.01,116313,145318.86,147307.88,147546.13,148910.15,148245.52,1517724.68
"546","China","Red swamp crawfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151538,185075.58,261591.14,407333.51,1211380.68,1931751.46,2573466.63,3216278.06,3202165.57,3845845.91,4510525.64,5203782.06,5630496.26,7185078.51,9813773.4,14235056.79,63565139.2
"547","China","Righteye flounders nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4689,7044.74,5465.92,5713.46,5877.14,10963.05,15533.23,7715.24,14052.71,19022.39,11045.62,20007.32,17706.97,28950.59,29658.66,30223.38,233669.42
"548","China","River and lake turtles nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29736.9,29784.74,43437.14,54717.98,85868.5,115701.76,131399.8,156238.43,198726.55,248106.9,309715.16,311564.62,369153.56,419811.55,433752.86,451539.4,3389255.85
"549","China","Salmonoids nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2209.86,2043.8,1255.13,1323.13,4238.31,3094.67,2480.61,2611.98,4011.68,5666.76,7927.5,27767.22,35428.96,8616.04,8568.89,6785.2,124029.74
"550","China","Scallops nei",6482.1,14130.4,40266.2,74188,207384.7,220083.7,249905.1,311351.7,540835.2,1092528,1155861,1191439.6,1299444.9,1267131.6,798163.8,824311.8,1054775.8,1054390,1024965,982641.25,955616.58,1197581.24,1422184.1,1524226.79,1797658.66,2054586.47,2412172.34,2587074.67,3090124.72,3774182.15,4089124.53,4376094.72,4793057.22,5201507.64,4969149.35,57654621.03
"551","China","Sea mussels nei",9560.74,9020.2,14745.99,21887.6,30077.25,34335.98,34712.65,34872.81,37722.65,35670.32,41522.2,62276.85,73250.2,74639.8,73496.25,81197.7,94319.6,99838.6,116366,119627.6,125885.45,148384.78,121908.25,106334.08,138691.68,187744.47,220098.01,256903.35,304715.84,321050.72,365711.53,379615.64,408980.95,439686.67,428193.11,5053045.52
"552","China","Sea snails",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68168,88603.01,114751.92,132431.26,143830.53,152752.59,140807.96,153089.54,173019.64,200264.02,214715.61,247909.56,255817.53,266404.34,283521.17,266033.71,2902120.39
