Country (Country),ASFIS species (CPC class),FAO major fishing area (FAO major fishing area),Environment (Environment),Unit (Unit),Unit,2013,2014,2015,2016,2017,2018
Brunei Darussalam,"Other shrimps and prawns, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,2749.6,4199.68,5166.34,4655.69,8097.31,4847.77
Brunei Darussalam,"Other shrimps and prawns, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,14.77,8.69,8.54
Bulgaria,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,15203.85,11598.02,12356.33,14567.16,17205.56,18635.83
Bulgaria,"Mussels, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,2157.25,2940.32,3326,3246.85,2863.96,2306.52
Bulgaria,"Other crustaceans, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,94.83,52.5,46.78,143.25,40.99,11.71
Bulgaria,"Other fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,2224.21,2376.75,2171.24,2627.69,2639.01,3743.39
Bulgaria,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,14973.22,16819.19,14516.6,15575.11,14302.39,22240.19
Bulgaria,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground",All,Freshwater,Value (USD 1000),USD 1000,0,0,0.02,16.28,8.34,2.84
Bulgaria,Others,All,Freshwater,Value (USD 1000),USD 1000,0,0.35,0,0,0,0
Burkina Faso,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,716.54,635.6,525.83,811.96,1016.16,1167.86
Burkina Faso,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground",All,Freshwater,Value (USD 1000),USD 1000,480,400,320,560,560,560
Burundi,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,1118.9,2346.95,3859.03,3867.94,3886.52,3975.32
Cambodia,"Clams, cockles and ark shells, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,1000,1300,1000,4730,5000,6100
Cambodia,"Crabs, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,200,250,250,340,350,400
Cambodia,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,165170,214122.5,256815,289922,584300,717540
Cambodia,"Mussels, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,1700,2300,1500,3258,3300,4050
Cambodia,"Other fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,4400,6000,5600,12448,13200,14480
Cambodia,"Other molluscs, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
