"","Country","CPC_Class","y13","y14","y15","y16","y17","y18"
"339","Finland","Freshwater fish, live, fresh or chilled",0,0,0,0,0,0
"340","Finland","Freshwater fish, live, fresh or chilled",823.51,1668.6,533.57,985.47,743.76,972.05
"341","Finland","Other fish, live, fresh or chilled",7789.84,6915.11,5079.77,5435.29,5521.8,7029.94
"342","Finland","Other fish, live, fresh or chilled",2365.09,1841.3,2643.75,2257.02,2743.33,2261.8
"343","Finland","Salmonidae, live, fresh or chilled",46202.39,48608.12,39496.52,51691.51,62717.67,56069.51
"344","Finland","Salmonidae, live, fresh or chilled",7577.76,7232.03,7012.77,9006.26,9639.6,10393.46
"345","France","Abalone, live, fresh or chilled",90,90,90,105,105,105
"346","France","Clams, cockles and ark shells, live, fresh or chilled",17795.69,18028.5,16034.92,15347.21,15663.03,16373.93
"347","France","Flatfish, live, fresh or chilled",0,6815.21,5902.61,5888.73,6009.9,6282.68
"348","France","Freshwater fish, live, fresh or chilled",18183.26,18188.5,15190.34,14832.5,15137.73,15824.79
"349","France","Mussels, live, fresh or chilled",175516.08,136048.13,124683.01,124015.21,126564.96,132309.42
"350","France","Other crustaceans, live, fresh or chilled",0,0,0,0,0,0
"351","France","Other fish, live, fresh or chilled",0,0,0,0,0,0
"352","France","Other fish, live, fresh or chilled",6344.29,7537.01,5772.98,4582.58,5015.78,5243.44
"353","France","Other fish, live, fresh or chilled",47581.54,43202.56,38106.98,35122.03,32523.52,33999.68
"354","France","Other molluscs, live, fresh or chilled",0,0,0,0,0,0
"355","France","Other shrimps and prawns, live, fresh or chilled",1018.28,1501.07,1417.67,1328.28,1355.62,1417.14
"356","France","Oysters, live, fresh or chilled",516780.89,458388.4,372805.18,366617.38,449059.57,511601.3
"357","France","Salmonidae, live, fresh or chilled",137044.13,141855.25,103695.29,114531.26,116888.11,122193.36
"358","France","Salmonidae, live, fresh or chilled",0,1873.19,1630.98,1627.15,1660.63,1736
"359","France","Scallops, live, fresh or chilled",0,0,0,0,0,0
"360","France","Seaweeds and other algae, fresh, frozen or dried, whether or not ground",178.86,189.71,293.58,276.73,282.42,295.24
"361","France","Others",60,80,80,80,100,100
"362","French Guiana","Freshwater fish, live, fresh or chilled",27.81,27.82,23.23,23.18,16.57,17.32
"363","French Guiana","Other shrimps and prawns, live, fresh or chilled",0,0,0,0,0,0
"364","French Polynesia","Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone; live aquatic plants and animals for ornamental purpose",89246.47,98998.52,71544.2,62171.56,58160.26,60920.8
"365","French Polynesia","Freshwater fish, live, fresh or chilled",0,0,0,0,0,0
"366","French Polynesia","Mussels, live, fresh or chilled",0,0,0,0,0,0
"367","French Polynesia","Other fish, live, fresh or chilled",0,0,0,0,0,0
"368","French Polynesia","Other fish, live, fresh or chilled",195.58,196.96,293.71,307.74,331.55,370.93
"369","French Polynesia","Other shrimps and prawns, live, fresh or chilled",0,0,0,0,0,0
"370","French Polynesia","Other shrimps and prawns, live, fresh or chilled",0,0,0,0,0,0
"371","French Polynesia","Other shrimps and prawns, live, fresh or chilled",1674.31,1896.88,1745.25,2031.46,2434.64,2535.41
"372","Gabon","Freshwater fish, live, fresh or chilled",186.22,182.03,152.17,151.77,154.61,161.95
"373","Gambia","Freshwater fish, live, fresh or chilled",25,29,29,29,29,29
"374","Gambia","Other shrimps and prawns, live, fresh or chilled",0,0,0,0,0,0
"375","Gambia","Oysters, live, fresh or chilled",10,10,10,10,10,10
"376","Georgia","Freshwater fish, live, fresh or chilled",1908.5,2054.47,1640.12,1660.1,1718.96,1904.48
"377","Georgia","Other fish, live, fresh or chilled",480.96,566.36,528.79,591.53,757.11,748.78
"378","Georgia","Other fish, live, fresh or chilled",0,90.62,74.91,0,0,0
"379","Georgia","Salmonidae, live, fresh or chilled",2885.74,3171.61,3183.74,3268.23,3718.21,4787.67
"380","Georgia","Salmonidae, live, fresh or chilled",0,0,0,215.49,274.15,351.21
"381","Germany","Clams, cockles and ark shells, live, fresh or chilled",0,0,0,0,0,0
"382","Germany","Flatfish, live, fresh or chilled",0,0,0,0,0,0
"383","Germany","Freshwater fish, live, fresh or chilled",23023.44,22301.77,17718.61,20071.92,18879.96,21785.38
"384","Germany","Mussels, live, fresh or chilled",14446.95,16904.91,13151.89,28340.71,26849.09,41028.91
"385","Germany","Other fish, live, fresh or chilled",0,0,0,0,0,0
"386","Germany","Other fish, live, fresh or chilled",8915.39,10170.56,13612.02,11895.67,18911.77,19888.73
"387","Germany","Oysters, live, fresh or chilled",956.25,956.52,798.85,720,720,720
"388","Germany","Salmonidae, live, fresh or chilled",93.79,93,0,0,0,0
"389","Germany","Salmonidae, live, fresh or chilled",56008.4,62501.78,43677.33,47916.71,52343.85,52095.71
"390","Ghana","Freshwater fish, live, fresh or chilled",66555.1,53155.85,48636.53,53680.5,52777.21,66839.32
"391","Ghana","Other shrimps and prawns, live, fresh or chilled",0,20.69,16.36,15.35,13.79,13.09
"392","Greece","Clams, cockles and ark shells, live, fresh or chilled",1.35,0,0,0,0,0
"393","Greece","Crabs, live, fresh or chilled",20.14,0,37.95,22.95,8.7,36.61
"394","Greece","Flatfish, live, fresh or chilled",54.64,24.35,9.19,9.39,3.19,9.03
"395","Greece","Freshwater fish, live, fresh or chilled",0,0,0,0,0,0
"396","Greece","Freshwater fish, live, fresh or chilled",159.71,99.15,349.97,51.62,210.63,25.3
"397","Greece","Mussels, live, fresh or chilled",9158.98,8441.92,7647.33,9280.16,8655.98,10352.67
"398","Greece","Other fish, live, fresh or chilled",3992.5,3610.29,2929.99,3503.85,2684.18,2624.84
"399","Greece","Other fish, live, fresh or chilled",2809.03,3948,2831.48,4801.04,4111.05,3075.21
"400","Greece","Other fish, live, fresh or chilled",551934.52,565472.94,506850.63,559201.26,591450.32,610984.33
"401","Greece","Other molluscs, live, fresh or chilled",0,21.2,3.46,0,387.64,467.73
"402","Greece","Other shrimps and prawns, live, fresh or chilled",0,0.73,0,0,0,0
"403","Greece","Oysters, live, fresh or chilled",2.51,0,0,4.87,0,0
"404","Greece","Salmonidae, live, fresh or chilled",8703.99,6706.13,6082.43,5642.25,6964.45,8036.16
"405","Greece","Seaweeds and other algae, fresh, frozen or dried, whether or not ground",547.54,677.6,621.36,423.14,1210.11,1229.59
"406","Greece","Tunas, skipjack or stripe-bellied bonito, live, fresh or chilled",935,1125,0,0,0,0
"407","Greece","Others",0,0,0,0,0,0
"408","Grenada","Freshwater fish, live, fresh or chilled",0,0,0,0,0,0
"409","Grenada","Other shrimps and prawns, live, fresh or chilled",0,0,0,0,0,0
"410","Grenada","Seaweeds and other algae, fresh, frozen or dried, whether or not ground",0,0,3.5,55.25,45,50
"411","Guadeloupe","Freshwater fish, live, fresh or chilled",31.88,31.88,26.63,13.28,13.56,14.17
"412","Guadeloupe","Other fish, live, fresh or chilled",15.94,119.56,99.86,126.19,115.23,141.72
"413","Guadeloupe","Other shrimps and prawns, live, fresh or chilled",143.44,143.48,119.83,39.85,40.67,42.51
"414","Guam","Freshwater fish, live, fresh or chilled",507.5,507.5,507.5,507.5,507.5,507.5
"415","Guam","Other fish, live, fresh or chilled",217.5,217.5,217.5,217.5,217.5,217.5
"416","Guam","Other fish, live, fresh or chilled",0,0,0,0,0,0
"417","Guam","Other shrimps and prawns, live, fresh or chilled",165,165,165,165,165,165
"418","Guam","Other shrimps and prawns, live, fresh or chilled",0,0,0,0,0,0
"419","Guatemala","Clams, cockles and ark shells, live, fresh or chilled",0,0,0,0,0,0
"420","Guatemala","Freshwater fish, live, fresh or chilled",0,0,0,0,0,0
"421","Guatemala","Freshwater fish, live, fresh or chilled",22712.8,28511.6,30065.8,32311.6,37149,41469.6
"422","Guatemala","Mussels, live, fresh or chilled",0,0,0,0,0,0
"423","Guatemala","Other crustaceans, live, fresh or chilled",0,0,0,0,0,0
"424","Guatemala","Other molluscs, live, fresh or chilled",0,0,0,0,0,0
